# Nmax = 7
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
3.7417 5.8248 0.0459   3 2 1   0 7 1   1 -2 0   (1)
4.1231 5.8259 0.0416   3 2 2   3 0 -5   2 1 0   (1)
4.5826 5.8269 0.0375   4 2 1   1 -6 0   0 1 0   (1)
5.0990 5.8277 0.0337   4 3 1   7 0 -3   2 1 0   (1)
5.3852 5.8280 0.0319   4 3 2   0 -3 5   1 1 0   (1)
5.4772 5.8281 0.0313   5 2 1   0 -3 5   2 1 0   (1)
5.7446 5.8284 0.0299   4 4 1   1 0 6   1 1 0   (1)
5.8310 0.7071 0.2425   4 3 3   2 1 2   1 1 0   (1)
5.8310 0.7475 0.2294   4 3 3   1 1 0   0 0 1   (1)
5.8310 0.8575 0.2000   4 3 3   0 1 0   1 0 1   (1)
5.8310 1.0000 0.1715   5 3 0   0 0 1   2 1 0   (12)
5.8310 1.0146 0.1690   5 0 3   2 1 1   0 1 0   (1)
5.8310 1.0572 0.1622   5 3 0   1 1 1   2 1 0   (1)
5.8310 1.1246 0.1525   5 3 0   1 0 1   2 1 0   (1)
5.8310 1.2005 0.1429   4 3 3   2 1 0   1 1 1   (1)
5.8310 1.2127 0.1414   5 0 3   3 1 1   1 1 0   (1)
5.8310 1.3173 0.1302   5 3 0   0 1 1   2 1 0   (1)
5.8310 1.4038 0.1222   4 3 3   1 0 -1   2 1 0   (1)
5.8310 1.4349 0.1195   5 3 0   2 0 1   2 1 0   (1)
5.8310 1.5624 0.1098   5 3 0   1 2 1   2 1 0   (1)
5.8310 1.5904 0.1078   4 3 3   1 1 -1   0 0 1   (1)
5.8310 1.6179 0.1060   4 3 3   0 2 1   1 1 1   (1)
5.8310 1.6977 0.1010   5 3 0   1 -1 1   2 1 0   (1)
5.8310 1.8391 0.0933   5 3 0   3 0 1   2 1 0   (1)
5.8310 1.8630 0.0921   4 3 3   3 0 2   0 1 0   (1)
5.8310 1.9852 0.0864   5 3 0   0 2 1   2 1 0   (1)
5.8310 2.0073 0.0854   5 0 3   2 2 1   0 1 0   (1)
5.8310 2.0651 0.0830   5 3 0   1 0 -2   1 1 1   (1)
5.8310 2.1351 0.0803   5 3 0   2 -1 1   2 1 0   (1)
5.8310 2.1761 0.0788   5 3 0   0 1 2   1 1 1   (1)
5.8310 2.2096 0.0776   4 3 3   1 -2 0   2 0 1   (1)
5.8310 2.2881 0.0750   5 3 0   4 0 1   2 1 0   (1)
5.8310 2.2945 0.0747   4 3 3   -1 2 1   1 1 1   (1)
5.8310 2.3326 0.0735   5 3 0   1 2 2   -1 0 1   (1)
5.8310 2.4435 0.0702   5 3 0   1 -2 1   2 1 0   (1)
5.8310 2.5263 0.0679   5 3 0   3 0 2   0 -1 1   (1)
5.8310 2.6009 0.0659   5 3 0   3 -1 1   2 1 0   (1)
5.8310 2.7170 0.0631   4 3 3   1 1 4   0 0 1   (1)
5.8310 2.7493 0.0624   5 3 0   -2 1 2   0 1 1   (1)
5.8310 2.7600 0.0621   5 3 0   0 3 1   2 1 0   (1)
5.8310 2.8388 0.0604   4 3 3   1 3 -1   2 1 2   (1)
5.8310 2.8748 0.0597   4 3 3   2 1 -2   1 1 2   (1)
5.8310 2.9205 0.0587   5 3 0   2 -2 1   2 1 0   (1)
5.8310 2.9951 0.0573   5 0 3   1 2 -2   2 1 0   (1)
3.0000 5.8310 0.0572   2 2 1   7 -1 0   1 0 0   (1)
5.8310 3.0049 0.0571   5 0 3   2 3 1   0 1 0   (1)
5.8310 3.0195 0.0568   5 3 0   1 1 3   2 1 -1   (1)
5.8310 3.0774 0.0557   4 3 3   1 4 0   1 0 1   (1)
5.8310 3.0822 0.0556   5 3 0   1 4 1   2 1 0   (1)
5.8310 3.1201 0.0550   5 0 3   0 3 1   1 1 1   (1)
5.8310 3.2222 0.0532   4 3 3   0 4 1   -1 2 0   (1)
5.8310 3.2313 0.0531   5 3 0   1 2 3   1 1 1   (1)
5.8310 3.2449 0.0529   5 3 0   1 -3 1   2 1 0   (1)
5.8310 3.2585 0.0526   5 3 0   0 3 2   1 2 1   (1)
5.8310 3.2988 0.0520   5 3 0   1 -1 3   1 0 1   (1)
5.8310 3.4085 0.0503   5 3 0   3 -2 1   2 1 0   (1)
5.8310 3.4556 0.0496   5 3 0   0 2 3   -1 0 1   (1)
5.8310 3.4683 0.0494   4 3 3   4 0 -1   1 1 1   (1)
5.8310 3.5355 0.0485   5 3 0   1 4 2   -1 1 1   (1)
5.8310 3.5438 0.0484   5 3 0   2 -1 3   3 1 1   (1)
5.8310 3.5687 0.0481   4 3 3   0 3 -2   1 2 0   (1)
5.8310 3.5728 0.0480   5 3 0   0 4 1   2 1 0   (1)
5.8310 3.6096 0.0475   4 3 3   1 -1 4   1 0 2   (1)
5.8310 3.6662 0.0468   4 3 3   2 0 5   1 1 0   (1)
5.8310 3.7061 0.0463   4 3 3   -3 2 1   1 1 1   (1)
5.8310 3.7377 0.0459   5 3 0   2 -3 1   2 1 0   (1)
5.8310 3.8002 0.0451   4 3 3   -1 4 1   2 0 1   (1)
5.8310 3.8233 0.0449   4 3 3   0 4 -1   1 0 1   (1)
5.8310 3.8425 0.0446   5 0 3   -3 3 1   0 1 1   (1)
5.8310 3.8881 0.0441   4 3 3   1 0 -4   1 1 2   (1)
5.8310 3.9032 0.0439   5 3 0   1 5 1   2 1 0   (1)
5.8310 3.9220 0.0437   4 3 3   1 0 5   1 1 -1   (1)
5.8310 3.9445 0.0435   4 3 3   6 1 0   1 1 1   (1)
5.8310 4.0037 0.0428   5 0 3   2 4 1   0 1 0   (1)
5.8310 4.0330 0.0425   5 3 0   1 0 4   2 1 1   (1)
5.8310 4.0656 0.0422   5 3 0   -2 2 3   0 1 1   (1)
5.8310 4.0693 0.0421   5 3 0   1 -4 1   2 1 0   (1)
5.8310 4.0909 0.0419   5 3 0   0 1 -4   2 1 1   (1)
5.8310 4.1195 0.0416   5 3 0   -2 3 2   0 2 1   (1)
5.8310 4.1551 0.0413   4 3 3   1 1 -4   0 0 1   (1)
5.8310 4.1763 0.0411   5 0 3   1 4 2   1 1 1   (1)
5.8310 4.1833 0.0410   5 3 0   4 -1 3   2 0 1   (1)
5.8310 4.2357 0.0405   5 3 0   3 -3 1   2 1 0   (1)
5.8310 4.2496 0.0404   4 3 3   1 4 -2   2 1 2   (1)
5.8310 4.2875 0.0400   5 3 0   3 0 4   1 1 -1   (1)
5.8310 4.3589 0.0393   3 3 -4   3 1 3   1 0 2   (12)
5.8310 4.4025 0.0390   5 3 0   0 5 1   2 1 0   (1)
5.8310 4.4125 0.0389   4 3 3   1 -1 5   1 1 0   (1)
5.8310 4.4225 0.0388   5 3 0   2 -1 4   1 0 1   (1)
5.8310 4.4292 0.0387   4 3 3   1 1 6   0 0 1   (1)
5.8310 4.5568 0.0376   5 0 3   0 3 4   1 1 2   (1)
5.8310 4.5697 0.0375   5 3 0   2 -4 1   2 1 0   (1)
5.8310 4.5794 0.0375   5 0 3   1 4 -2   1 1 0   (1)
5.8310 4.6082 0.0372   4 3 3   -1 1 5   2 1 0   (1)
5.8310 4.6368 0.0370   4 3 3   5 1 -2   0 1 2   (1)
5.8310 4.6621 0.0368   4 3 3   7 1 0   1 1 1   (1)
5.8310 4.7310 0.0362   5 3 0   0 5 2   1 3 1   (1)
5.8310 4.7372 0.0362   5 3 0   1 6 1   2 1 0   (1)
5.8310 4.7558 0.0361   5 0 3   0 4 3   2 1 2   (1)
5.8310 4.8203 0.0356   5 3 0   1 5 3   1 2 1   (1)
5.8310 4.9020 0.0350   4 3 3   6 0 -1   1 1 1   (1)
5.8310 4.9050 0.0350   5 3 0   1 -5 1   2 1 0   (1)
5.8310 4.9497 0.0346   5 3 0   1 4 4   2 2 1   (1)
5.8310 4.9557 0.0346   5 0 -3   1 3 4   1 1 1   (1)
5.8310 4.9735 0.0345   4 3 -3   0 3 4   1 2 1   (1)
5.8310 5.0000 0.0343   4 3 3   3 0 -4   2 1 0   (12)
5.8310 5.0029 0.0343   5 0 3   2 5 1   0 1 0   (1)
5.8310 5.0118 0.0342   4 3 3   1 1 -5   0 0 1   (1)
5.8310 5.0264 0.0341   5 0 3   1 5 0   2 2 1   (1)
5.8310 5.0439 0.0340   5 3 0   1 6 2   -1 2 1   (1)
5.8310 5.0468 0.0340   5 3 0   3 1 5   2 1 1   (1)
5.8310 5.0730 0.0338   5 3 0   3 -4 1   2 1 0   (1)
5.8310 5.0961 0.0337   4 -3 3   1 4 3   0 2 1   (1)
5.8310 5.1048 0.0336   5 0 3   2 5 0   2 1 1   (1)
5.8310 5.1421 0.0334   5 3 0   1 2 5   1 0 -2   (1)
5.8310 5.1592 0.0332   5 0 3   -3 4 2   0 1 1   (1)
5.8310 5.1848 0.0331   5 0 3   1 5 -1   1 2 0   (1)
5.8310 5.2328 0.0328   5 3 0   3 0 -5   1 1 1   (1)
5.8310 5.2412 0.0327   5 3 0   0 6 1   2 1 0   (1)
5.8310 5.2497 0.0327   4 3 3   2 -5 0   1 2 1   (1)
5.8310 5.2859 0.0324   4 3 3   1 1 7   0 0 1   (1)
5.8310 5.2943 0.0324   4 3 3   6 -2 1   3 0 1   (1)
5.8310 5.3165 0.0323   4 3 3   2 7 0   1 0 1   (1)
5.8310 5.3440 0.0321   5 3 0   -2 1 5   1 1 1   (1)
5.8310 5.3605 0.0320   5 0 3   -3 2 4   0 1 3   (1)
5.8310 5.3742 0.0319   5 3 0   2 -4 3   3 0 1   (1)
5.8310 5.3824 0.0319   5 3 0   -2 3 4   0 1 1   (1)
5.8310 5.4070 0.0317   5 0 3   1 5 3   0 2 1   (1)
5.8310 5.4097 0.0317   5 3 0   2 -5 1   2 1 0   (1)
5.8310 5.4314 0.0316   3 3 -4   1 6 1   0 2 1   (1)
5.8310 5.4745 0.0313   5 3 0   -1 2 5   0 1 2   (1)
5.8310 5.5120 0.0311   4 3 -3   0 1 6   1 1 1   (1)
5.8310 5.5466 0.0309   5 3 0   3 -1 5   1 0 1   (1)
5.8310 5.5783 0.0307   5 3 0   1 7 1   2 1 0   (1)
5.8310 5.6177 0.0305   5 3 0   1 -4 4   2 0 1   (1)
5.8310 5.6230 0.0305   4 3 3   7 0 -1   1 1 1   (1)
5.8310 5.6621 0.0303   5 0 3   1 3 -5   3 1 0   (1)
5.8310 5.6802 0.0302   5 3 0   -2 5 2   0 3 1   (1)
5.8310 5.7035 0.0301   5 0 3   2 5 -2   1 1 0   (1)
5.8310 5.7420 0.0299   4 3 3   -4 4 1   3 0 1   (1)
5.8310 5.7471 0.0298   5 3 0   1 -6 1   2 1 0   (1)
5.8310 5.7548 0.0298   3 3 -4   3 1 5   1 0 3   (1)
5.8310 5.7854 0.0296   4 -3 3   1 2 6   0 1 2   (1)
5.8310 5.7879 0.0296   5 3 0   1 4 5   0 2 3   (1)
5.8310 5.8082 0.0295   5 0 3   -3 3 4   0 1 2   (1)
5.8310 5.8259 0.0294   3 3 -4   5 1 3   1 0 1   (1)
4.2426 5.8405 0.0404   1 1 -4   5 3 1   2 1 2   (1)
5.3852 5.8428 0.0318   5 0 2   3 1 -5   2 0 1   (1)
4.5826 5.8432 0.0373   2 1 -4   6 1 1   1 0 1   (1)
5.3852 5.8516 0.0317   5 2 0   1 5 4   3 0 -1   (1)
4.6904 5.8543 0.0364   3 2 -3   1 5 3   0 1 1   (1)
4.2426 5.8547 0.0403   4 1 1   0 6 1   -1 1 0   (1)
5.1962 5.8563 0.0329   5 1 1   1 -1 6   1 0 1   (1)
3.6056 5.8573 0.0474   3 0 2   1 5 -3   1 1 0   (1)
2.4495 5.8595 0.0697   2 1 1   1 -6 0   0 1 0   (1)
5.8310 5.8636 0.0292   5 3 0   0 5 4   -2 0 1   (1)
5.0990 5.8638 0.0334   3 1 -4   1 5 3   0 1 1   (1)
5.8310 5.8687 0.0292   4 3 3   1 1 -6   0 0 1   (1)
5.4772 5.8708 0.0311   5 1 2   0 4 5   -2 1 1   (1)
4.1231 5.8712 0.0413   2 2 -3   5 1 3   1 0 1   (1)
3.7417 5.8737 0.0455   3 2 1   -2 5 3   1 0 0   (1)
5.8310 5.8762 0.0292   5 3 0   -1 3 5   1 2 2   (1)
4.5826 5.8797 0.0371   4 2 1   1 7 0   0 1 0   (1)
3.1623 5.8822 0.0538   3 1 0   -1 5 3   1 2 1   (1)
4.3589 5.8849 0.0390   3 3 1   -6 2 1   1 0 0   (1)
5.0000 5.8856 0.0340   4 0 3   3 1 -5   1 0 1   (1)
5.3852 5.8898 0.0315   4 3 2   1 3 -5   1 1 0   (1)
3.7417 5.8919 0.0454   3 1 2   1 5 -3   1 0 1   (1)
3.3166 5.8930 0.0512   3 1 1   0 -1 6   1 0 2   (1)
5.7446 5.8930 0.0295   5 2 2   -3 5 1   1 2 1   (1)
5.1962 5.8941 0.0327   5 1 1   1 4 5   1 0 0   (1)
4.2426 5.8973 0.0400   4 1 -1   1 3 5   0 1 2   (1)
5.3852 5.8986 0.0315   4 3 2   -1 0 6   1 1 3   (1)
2.2361 5.8992 0.0758   2 1 0   1 7 1   1 0 0   (1)
4.6904 5.9007 0.0361   3 3 2   2 0 7   0 1 -3   (1)
5.0990 5.9031 0.0332   4 1 3   3 1 -5   0 0 1   (1)
5.4772 5.9048 0.0309   5 2 1   0 1 6   1 0 -2   (1)
4.1231 5.9061 0.0411   4 1 0   0 6 1   1 0 0   (1)
5.8310 5.9061 0.0290   4 3 3   1 -5 3   1 0 1   (1)
5.0990 5.9063 0.0332   4 3 1   -1 6 3   0 2 1   (1)
3.0000 5.9067 0.0564   2 1 -2   1 5 3   0 1 1   (1)
3.6056 5.9096 0.0469   3 0 2   0 1 7   1 0 1   (1)
4.1231 5.9111 0.0410   4 -1 0   1 3 5   1 1 2   (1)
4.5826 5.9121 0.0369   4 2 1   1 -1 6   1 0 2   (1)
5.3852 5.9132 0.0314   5 0 -2   1 5 3   1 2 1   (1)
5.7446 5.9135 0.0294   5 -2 2   1 5 3   0 2 1   (1)
5.9161 0.4140 0.4082   5 3 1   1 1 0   0 1 0   (1)
5.9161 0.5345 0.3162   5 3 1   1 0 0   0 1 0   (1)
5.9161 0.6325 0.2673   5 1 3   2 1 1   0 1 0   (1)
5.9161 0.8619 0.1961   5 1 3   0 0 1   1 0 0   (1)
5.9161 0.9856 0.1715   5 3 1   0 0 1   2 1 0   (1)
5.9161 1.2421 0.1361   5 3 1   1 2 0   0 1 0   (1)
5.9161 1.3732 0.1231   5 3 1   1 -1 0   1 0 0   (1)
5.9161 1.6036 0.1054   5 1 3   2 2 1   0 1 0   (1)
5.9161 1.6388 0.1031   5 3 1   3 0 1   1 1 0   (1)
5.9161 1.7728 0.0953   5 3 1   1 2 -1   1 1 0   (1)
5.9161 1.8974 0.0891   5 3 1   0 2 1   1 0 0   (1)
5.9161 2.0424 0.0828   5 3 1   2 -1 1   1 1 0   (1)
5.9161 2.0976 0.0806   5 3 1   1 3 0   0 1 0   (1)
5.9161 2.1778 0.0776   5 3 1   -1 0 2   2 1 0   (1)
5.9161 2.2297 0.0758   5 3 1   1 -2 0   0 1 0   (1)
5.9161 2.3543 0.0718   5 1 3   2 -2 1   0 1 0   (1)
5.9161 2.4260 0.0697   5 3 1   3 -1 0   1 0 0   (1)
5.9161 2.4495 0.0690   5 3 1   1 -2 1   1 1 0   (12)
5.9161 2.5857 0.0654   5 1 3   2 3 1   0 1 0   (1)
5.9161 2.8586 0.0591   5 3 1   0 -3 1   1 1 0   (1)
5.9161 2.8785 0.0587   5 1 3   -2 2 1   0 1 1   (1)
5.9161 2.9568 0.0572   5 3 1   1 4 0   0 1 0   (1)
5.9161 2.9952 0.0564   5 3 1   0 1 3   2 1 0   (1)
5.9161 3.0892 0.0547   5 3 1   1 -3 0   0 1 0   (1)
5.9161 3.1442 0.0538   5 3 1   1 0 -3   1 1 2   (1)
5.9161 3.2689 0.0517   5 1 3   0 3 2   2 0 1   (1)
5.9161 3.3381 0.0506   5 1 3   2 -3 1   0 1 0   (1)
5.9161 3.4059 0.0496   5 3 1   0 3 -2   1 1 0   (1)
5.9161 3.4888 0.0485   5 1 3   0 1 4   1 0 0   (1)
5.9161 3.5697 0.0474   5 3 1   0 -2 3   1 0 1   (1)
5.9161 3.6016 0.0469   5 1 -3   2 0 3   1 0 1   (1)
5.9161 3.6801 0.0459   5 3 1   3 -2 2   1 1 0   (1)
5.9161 3.7264 0.0454   5 1 -3   1 3 2   0 1 1   (1)
5.9161 3.8173 0.0443   5 3 1   1 5 0   0 1 0   (1)
5.9161 3.8322 0.0441   5 1 3   1 4 0   2 2 1   (1)
5.9161 3.9497 0.0428   5 3 1   1 -4 0   0 1 0   (1)
5.9161 4.0214 0.0420   5 1 3   -1 1 4   1 0 0   (1)
5.9161 4.0918 0.0413   5 3 1   2 -3 2   1 1 0   (1)
5.9161 4.1196 0.0410   5 3 1   0 -1 4   2 1 1   (1)
5.9161 4.1884 0.0404   5 1 3   1 -4 1   2 2 1   (1)
5.9161 4.2292 0.0400   5 3 1   -1 1 4   2 1 0   (1)
5.9161 4.3227 0.0391   5 1 3   2 -4 1   0 1 0   (1)
5.9161 4.4913 0.0376   5 3 1   0 3 4   -1 1 2   (1)
5.9161 4.5040 0.0375   5 3 1   1 -4 2   1 1 0   (1)
5.9161 4.5166 0.0374   5 3 1   0 5 -1   3 0 1   (1)
5.9161 4.5544 0.0371   5 3 1   0 5 2   1 0 0   (1)
5.9161 4.5795 0.0369   5 3 1   2 -4 1   1 2 0   (1)
5.9161 4.6414 0.0364   5 -3 1   4 3 0   1 1 0   (1)
5.9161 4.6782 0.0361   5 3 1   1 6 0   0 1 0   (1)
5.9161 4.7509 0.0356   5 3 1   2 0 5   2 1 1   (1)
5.9161 4.7630 0.0355   5 3 1   1 2 5   -1 0 2   (1)
5.9161 4.8107 0.0351   5 3 1   1 -5 0   0 1 0   (1)
5.9161 4.9164 0.0344   5 3 1   0 -5 2   1 1 0   (1)
5.9161 4.9742 0.0340   5 1 -3   3 0 4   1 0 1   (1)
5.9161 5.0540 0.0334   5 3 1   0 2 5   2 1 0   (1)
5.9161 5.0878 0.0332   5 3 1   -1 5 2   1 0 0   (1)
5.9161 5.0990 0.0331   5 3 -1   1 0 5   2 1 1   (12)
5.9161 5.1658 0.0327   5 3 1   0 6 1   -2 1 0   (1)
5.9161 5.3077 0.0318   5 1 3   2 -5 1   0 1 0   (1)
5.9161 5.3184 0.0318   5 1 -3   2 0 5   1 0 2   (1)
5.9161 5.3292 0.0317   5 1 3   0 5 3   2 0 1   (1)
5.9161 5.3612 0.0315   5 3 1   0 6 -1   1 2 0   (1)
5.9161 5.3825 0.0314   5 3 1   0 2 -5   2 1 1   (1)
5.9161 5.4353 0.0311   5 1 3   2 1 -5   1 0 3   (1)
5.9161 5.4668 0.0309   5 3 1   0 5 -3   1 1 0   (1)
5.9161 5.5395 0.0305   5 3 1   1 7 0   0 1 0   (1)
5.9161 5.5806 0.0303   5 3 1   3 0 -5   0 1 3   (1)
5.9161 5.6214 0.0301   5 3 1   -2 5 2   1 0 0   (1)
5.9161 5.6720 0.0298   5 3 1   1 -6 0   0 1 0   (1)
5.9161 5.6921 0.0297   5 3 1   1 1 6   2 1 -2   (1)
5.9161 5.7221 0.0295   5 3 1   1 2 6   1 1 2   (1)
5.9161 5.7421 0.0294   5 3 1   3 -4 3   1 1 0   (1)
5.9161 5.7916 0.0292   5 3 1   1 0 6   2 1 2   (1)
5.9161 5.8211 0.0290   5 3 1   1 -6 1   1 2 0   (1)
5.9161 5.8310 0.0290   5 -3 1   3 5 0   1 2 0   (12)
5.9161 5.8797 0.0287   5 3 1   1 6 -3   1 1 0   (1)
5.9161 5.8895 0.0287   5 1 3   0 6 1   2 -1 1   (1)
4.1231 5.9260 0.0409   3 2 2   1 1 -6   0 0 1   (1)
5.3852 5.9335 0.0313   4 2 -3   2 5 3   1 2 1   (1)
3.0000 5.9348 0.0562   2 2 1   1 0 -6   1 1 0   (1)
5.0000 5.9363 0.0337   4 3 0   0 4 5   -1 0 1   (1)
5.4772 5.9414 0.0307   5 1 2   1 6 -1   1 2 0   (1)
5.4772 5.9470 0.0307   5 2 1   1 -6 0   0 1 0   (1)
5.0990 5.9550 0.0329   4 -3 1   1 6 2   1 2 1   (1)
4.6904 5.9582 0.0358   3 2 -3   1 2 6   1 1 1   (1)
5.0990 5.9582 0.0329   4 3 1   -1 4 5   2 1 0   (1)
5.7446 5.9620 0.0292   5 2 2   2 0 7   2 1 -1   (1)
4.2426 5.9675 0.0395   4 1 1   0 6 -1   1 2 0   (1)
5.0990 5.9679 0.0329   5 1 0   0 6 1   1 0 0   (1)
5.8310 5.9681 0.0287   5 3 0   3 -2 5   3 1 1   (1)
5.1962 5.9691 0.0322   5 -1 1   2 5 3   0 2 1   (1)
4.5826 5.9722 0.0365   4 1 2   1 1 -6   1 0 3   (1)
4.6904 5.9810 0.0356   3 3 2   1 6 -3   1 2 0   (1)
5.3852 5.9827 0.0310   4 3 2   1 1 7   0 0 1   (1)
3.7417 5.9881 0.0446   3 2 -1   0 1 6   1 1 2   (1)
5.8310 6.0025 0.0286   5 0 3   2 6 1   0 1 0   (1)
5.3852 6.0029 0.0309   5 2 0   2 1 6   0 0 1   (1)
5.0990 6.0032 0.0327   5 0 1   1 6 0   0 1 0   (1)
5.0000 6.0033 0.0333   4 3 0   1 1 6   0 0 1   (1)
4.1231 6.0049 0.0404   4 0 1   1 6 0   0 1 0   (1)
5.1962 6.0062 0.0320   5 1 1   0 6 -1   2 3 0   (1)
3.6056 6.0064 0.0462   3 2 0   1 1 6   0 0 1   (1)
3.1623 6.0083 0.0526   3 0 1   1 6 0   0 1 0   (1)
4.3589 6.0088 0.0382   3 3 1   1 -1 6   1 0 3   (1)
5.0990 6.0096 0.0326   5 1 0   -2 3 5   0 2 3   (1)
5.9161 6.0143 0.0281   5 3 1   0 7 1   1 -1 0   (1)
5.3852 6.0144 0.0309   5 2 0   1 4 5   -1 1 2   (1)
3.3166 6.0151 0.0501   3 1 1   1 -6 0   0 1 0   (1)
2.2361 6.0166 0.0743   2 0 1   1 6 0   0 1 0   (1)
3.7417 6.0178 0.0444   2 1 -3   1 6 1   0 2 1   (1)
4.5826 6.0198 0.0362   4 2 1   0 -1 6   1 0 3   (1)
5.3852 6.0258 0.0308   5 0 2   1 1 -6   2 0 1   (1)
5.0990 6.0288 0.0325   5 0 1   1 2 6   0 1 3   (1)
3.7417 6.0297 0.0443   3 2 1   1 0 -6   1 1 3   (1)
5.4772 6.0305 0.0303   5 2 1   1 3 6   3 0 -2   (1)
4.6904 6.0378 0.0353   3 3 2   2 -6 1   0 1 0   (1)
5.4772 6.0388 0.0302   5 2 -1   0 1 6   2 1 1   (1)
1.4142 6.0415 0.1170   1 1 0   0 1 6   0 0 1   (1)
2.4495 6.0415 0.0676   2 1 1   1 7 0   0 1 0   (1)
4.2426 6.0415 0.0390   4 1 1   0 4 5   1 0 0   (1)
4.3589 6.0437 0.0380   3 3 1   1 0 -6   1 1 0   (1)
4.1231 6.0440 0.0401   4 0 1   2 5 4   1 1 1   (1)
3.3166 6.0453 0.0499   1 1 -3   1 6 1   0 1 1   (1)
5.0000 6.0465 0.0331   4 0 -3   3 5 2   1 2 1   (1)
4.2426 6.0507 0.0390   4 1 1   1 6 3   0 2 1   (1)
5.0990 6.0542 0.0324   4 -1 3   0 6 1   1 1 1   (1)
5.8310 6.0610 0.0283   5 3 0   0 1 6   2 1 -1   (1)
4.3589 6.0611 0.0379   3 3 1   2 -1 6   1 0 2   (1)
5.9161 6.0616 0.0279   5 -1 3   0 6 1   1 2 1   (1)
5.8310 6.0634 0.0283   4 3 3   1 7 -1   1 0 1   (1)
3.6056 6.0638 0.0457   3 2 0   1 7 3   0 2 1   (1)
4.2426 6.0645 0.0389   4 1 1   1 -6 0   0 1 0   (1)
4.5826 6.0671 0.0360   4 2 1   1 0 -6   2 1 0   (1)
5.0990 6.0701 0.0323   4 3 1   1 0 -6   1 1 2   (1)
5.3852 6.0714 0.0306   5 0 2   0 6 1   2 1 1   (1)
4.6904 6.0715 0.0351   3 3 2   0 1 7   1 1 1   (1)
5.7446 6.0728 0.0287   4 4 1   1 0 -6   1 1 0   (1)
5.7446 6.0753 0.0287   4 4 1   1 -1 6   1 0 3   (1)
5.0990 6.0796 0.0323   5 1 0   0 1 6   1 0 -1   (1)
5.1962 6.0797 0.0317   5 1 1   1 -6 0   0 1 0   (1)
5.4772 6.0800 0.0300   5 2 1   1 0 -6   2 1 3   (1)
5.9161 6.0804 0.0278   5 -1 3   1 6 0   2 2 1   (1)
6.0828 1.0000 0.1644   6 1 0   0 0 1   1 0 0   (12)
6.0828 1.0134 0.1622   6 1 0   1 0 1   1 0 0   (1)
6.0828 1.0527 0.1562   6 1 0   2 0 1   1 0 0   (1)
6.0828 1.1150 0.1474   6 1 0   3 0 1   1 0 0   (1)
6.0828 1.1968 0.1374   6 1 0   2 1 1   1 0 0   (1)
6.0828 1.2945 0.1270   6 1 0   1 1 1   1 0 0   (1)
6.0828 1.4046 0.1170   6 1 0   0 1 1   1 0 0   (1)
6.0828 1.5246 0.1078   6 1 0   1 -1 1   1 0 0   (1)
6.0828 1.6522 0.0995   6 1 0   2 -1 1   1 0 0   (1)
6.0828 1.7858 0.0921   6 1 0   3 2 1   1 0 0   (1)
6.0828 1.9242 0.0854   6 1 0   2 2 1   1 0 0   (1)
6.0828 2.0067 0.0819   6 0 1   1 2 0   0 1 0   (1)
6.0828 2.0599 0.0798   6 0 1   3 2 0   1 1 0   (1)
6.0828 2.0665 0.0796   6 1 0   1 2 1   1 0 0   (1)
6.0828 2.1623 0.0760   6 1 0   1 1 2   -2 0 1   (1)
6.0828 2.2118 0.0743   6 1 0   0 2 1   1 0 0   (1)
6.0828 2.3074 0.0712   6 0 1   1 2 -1   3 1 0   (1)
6.0828 2.3596 0.0697   6 1 0   1 -2 1   1 0 0   (1)
6.0828 2.4878 0.0661   6 0 1   3 2 2   1 1 1   (1)
6.0828 2.5094 0.0655   6 1 0   2 -2 1   1 0 0   (1)
6.0828 2.6610 0.0618   6 1 0   3 3 1   1 0 0   (1)
6.0828 2.6963 0.0610   6 0 1   1 2 2   0 1 1   (1)
6.0828 2.8141 0.0584   6 1 0   2 3 1   1 0 0   (1)
6.0828 2.9270 0.0562   6 1 0   -1 2 2   0 1 1   (1)
6.0828 2.9683 0.0554   6 1 0   1 3 1   1 0 0   (1)
3.0000 6.0828 0.0548   2 1 -2   0 2 7   1 1 1   (1)
6.0828 3.0045 0.0547   6 0 1   1 3 0   0 1 0   (1)
6.0828 3.0180 0.0545   6 1 0   2 0 3   1 0 1   (1)
6.0828 3.0712 0.0535   6 1 0   2 1 3   -1 0 1   (1)
6.0828 3.1106 0.0529   6 1 0   1 1 3   2 0 -1   (1)
6.0828 3.1236 0.0526   6 1 0   0 3 1   1 0 0   (1)
6.0828 3.1751 0.0518   6 -1 0   3 2 2   1 1 1   (1)
6.0828 3.2131 0.0512   6 0 1   1 3 -1   2 1 0   (1)
6.0828 3.2756 0.0502   6 1 0   2 -1 3   3 0 1   (1)
6.0828 3.2797 0.0501   6 1 0   1 -3 1   1 0 0   (1)
6.0828 3.4209 0.0481   6 1 0   2 2 3   3 1 1   (1)
6.0828 3.4367 0.0478   6 1 0   2 -3 1   1 0 0   (1)
6.0828 3.5029 0.0469   6 0 1   1 3 2   2 1 1   (1)
6.0828 3.5943 0.0457   6 1 0   3 4 1   1 0 0   (1)
6.0828 3.6834 0.0446   6 1 0   -1 2 3   2 1 1   (1)
6.0828 3.7090 0.0443   6 0 1   -1 2 3   2 1 2   (1)
6.0828 3.7525 0.0438   6 1 0   2 4 1   1 0 0   (1)
